breed,name,height,weight,life_exp,group,country,history,colors
malamute,Malamute,"25 inches (male), 23 inches (female)","85 pounds (male), 75 pounds (female)",10-14 years,Spitz and primitive types,united states of america,"The Alaskan Malamute is among the oldest of the sled dog breeds of the Arctic. They are believed to be a descendant of the domesticated wolf-dogs who accompanied the Paleolithic hunters that crossed the land bridges of the Bering Strait and migrated into North America roughly 4,000 years ago.The breed’s name is derived from the Mahlemiut, a nomadic Inuit tribe that resided in Kotzebue Sound in northwestern Alaska. The dog the Mahlemiut people developed was primarily a sledge dog, created to work in packs to haul heavy loads at low speeds over long distances. However, they were also used for carrying packs in the summer, locating seal breathing holes in the ice, and distracting bears on hunts. Other Arctic dog breeds, like the Siberian Husky, pull lighter loads on sleds at faster speeds. Huskies are racers; Malamutes are freighters.The Inuit culture spans from the coasts of Alaska to the coasts of Greenland. Because of this distance, different strains developed in the Malamute breed. The AKC recognized the original Kotzebue strain in 1935. After WWII, the breed’s numbers plummeted until there were very few dogs registered. In response, during the late 1940s and ’50s, the AKC opened the studbook to include the M’Loot and Hinman strains as well. Today, the Malamute’s gene pool is made up of all three of these strains, with Ch. Toro of Bras Coupe being the first dog to unite them.","Agouti & White,Black & White,Blue & White,Gray & White,Red & White,Sable & White,Seal & White,Silver & White,White"
cardigan,Cardigan,10.5-12.5 inches,"30-38 pounds (male), 25-34 pounds (female)",12-15 years,Sheepdogs and Cattledogs (except Swiss Cattledogs),great britain,"The handsome but hard-as-nails Cardigan Welsh Corgi was named for the medieval kingdom of Cardiganshire, Wales, and is the older of the AKC’s two corgi breeds. In fact, they’re among the oldest of all British breeds. The word “corgi,” originally “kergie,” is ancient Celtic for “dog,” and historians surmise that ancient corgis were brought from Central Europe to Wales by the Celts during their mass migrations to Britain around 1200 BC. We can say with some certainty, however, that corgis were driving Welsh herds 1,000 years ago.Cardigans are built low to the ground to best nip at the heels of cattle and avoid being kicked. (Dogs who drive herds to pasture or market in this heel-nipping style are called heelers.) The adaptable Cardigan did double duty on long cattle drives, moving the herd by day and serving as a flock guardian at night. During the breed’s long history, Cardigans have at various times worked as an all-around farm dog, hunting partner, family protector, and athlete. Cardigans were long associated with Britain’s crofters (tenant farmers) who depended on their dogs to help scratch a meager living out of the pasture land permitted them by the crown.Cardigans and Pembrokes were at one time freely interbred, and until as late as 1934 they were considered a single breed in the United Kingdom. The first pair of breeding Cardigans arrived in the United States in June 1931. The AKC granted full recognition to the breed four years later.","Black & White,Blue Merle & White,Brindle & White,Red & White,Sable & White,Brindle Merle & White,Gray & White,Liver & White,Red Merle & White,Sable Merle & White,Black Mask & Ticked,Brindle Points & Ticked,Tan Points & Ticked,Ticked"
schipperke,Schipperke,"11-13 inches (male), 10-12 inches (female)",10-16 pounds,12-14 years,Sheepdogs and Cattledogs (except Swiss Cattledogs),belgium,"​Late medieval Belgium was the birthplace of the Schipperke (correctly pronounced “SHEEP-er-ker,” though many American owners say “SKIP-er-kee”). The breed earned its fame as shipboard exterminators on the canals that crisscrossed the Low Countries. The little black avenger of the Belgian dockyards was also a fearless watchdog on barges and in city shops. It was among the sailors and shopkeepers of Brussels and Antwerp that these quick, agile dogs earned the nickname “schipperke,” Flemish for “little captain.”","Black,Apricot,Black & Tan,Blue,Chocolate,Cream,Fawn,Gray,Red,White"
german_short-haired_pointer,German Short-Haired Pointer,"23-25 inches (male), 21-23 inches (female)","55-70 pounds (male), 45-60 pounds (female)",10-12 years,Pointing Dogs,Germany,"German hunters spent generations crossing various breeds until they perfected this versatile bird dog sometime in the 1800s. They were so successful that, to this day, GSPs are among the top-winning breeds in competitive hunting events. The German bird-dog tradition dates to at least the 1700s, with master breeders experimenting with tracking hound–pointing dog crosses in the quest for a quick but powerful hunter possessing plenty of nose and versatility. It comes as no surprise to learn that a key player in the early development of this breed of noble bearing was himself a nobleman, Prince Albrecht zu Solms-Braunfels. The prince and his fellow enthusiasts succeeded beyond their wildest imaginings in creating a do-it-all hunting dog. Here, a breed historian ticks off the GSP’s credentials: “a staunchly pointing bird dog; a keen-nosed night trailer; a proven duck dog; a natural retriever on land or water, with pleasing conformation and markings, and great powers of endurance; and an intelligent family watchdog and companion.” The GSP has been hunted with success on a variety of quarry: gamebirds, possum, rabbit, raccoon, and even deer. With his webbed feet and sleek but sturdy construction, the GSP burnishes his résumé as one of dogdom’s finest swimmers. Emblematic of the breed’s eager versatility was Marvin, a GSP from North Carolina, who in late 2013 achieved his 75th AKC title.","Black,Black & White,Liver,Liver & White,White & Liver,Patched,Patched & Ticked,Ticked"
golden_retriever,Golden Retriever,"23-24 inches (male), 21.5-22.5 inches (female)","65-75 pounds (male), 55-65 pounds (female)",10-12 years,Retrievers,great britain,"The most important name in the early history of the Golden Retriever is Dudley Marjoribanks, the first Lord Tweedmouth, who developed the breed in the Scottish Highlands during the reign of Victoria. For the 50 years between 1840 and 1890, Tweedmouth kept scrupulous records of breedings effected to create an ideal gundog for use at his Guisachan estate in the Highlands, Inverness-shire, Scotland. Tweedmouth wanted a dog suited to the rainy climate and rugged terrain of the area, so he crossed his “Yellow Retriever” with a breed that is now extinct, the Tweed Water Spaniel. Irish Setter and Bloodhound were also added to the mix.“Through several generations of clever breeding,” an admiring historian wrote, “Tweedmouth created a consistent line of exceptional working retrievers.” With a little more refinement after Tweedmouth’s time, the Golden Retriever came forth as an enduring gift to dogkind from a hunt-happy aristocrat.The Golden was first seen at a British dog show in 1908, and good specimens of the breed began arriving in America, by way of Canada, at about the same time. Sport hunters appreciated the breed’s utility, show fanciers were enthralled by their beauty and dash, and all were impressed by the Golden’s sweet, sensible temperament.The Golden was popular from the beginning of its American history, but the breed’s popularity really took off in the 1970s, the era of President Gerald Ford and his beautiful Golden named Liberty.",Golden
afghan_hound,Afghan Hound,25-27 inches,50-60 pounds,12-15 years,Sighthounds,afghanistan,"This is a very old breed. In fact, some authorities maintain that the Afghan Hound is the oldest breed of purebred dogs. (An ancient myth says that a brace of Afghan Hounds represented the canine species on Noah’s Ark.) Because the breed predates written history by a few thousand years, and because it was developed in some of the world’s most remote locales, its exact time and place of origin within the vast area that is now Afghanistan, India, and Pakistan will never be known. What we do know is that for centuries Afghans were rugged, fleet-footed hunting companions and status symbols of royals, tribal chieftains, and aristocrats in Asia’s mountain kingdoms. Afghan Hounds belong to the subcategory of hound breeds known as sighthounds, dogs who rely on their panoramic vision and explosive speed to spot and pursue their prey.A fixture of Eastern culture since the dawn of civilization, the Afghan hound didn’t make its entrance on the stage of Western history until the late 1800s. It was then that English officers returning from the British Empire’s farthest corners introduced the breed to Europe. By the early 1900s, the Afghan was a preferred breed of the British gentry.The AKC registered its first of the breed in 1927, but not until the early ’30s did the breed really catch on with U.S. breeders and owners. Among the most important dogs of those early years in America were a breeding pair imported from England by Zeppo Marx, the youngest of the wacky Marx Brothers. Since then, the Afghan’s fame in America has been built on his sterling qualities as a pet and his show-stopping presence in the ring. The giant sculpture by Pablo Picasso in Chicago’s Daley Plaza depicts Kabul, the artist’s much-loved Afghan Hound.","Black,Black & Silver,Black & Tan,Blue,Blue & Cream,Cream,Red,Silver,White,Brindle,Domino"
otterhound,Otterhound,"27 inches (male), 24 inches (female)","115 pounds (male), 80 pounds (female)",10-13 years,Scent hounds and related breeds,great britain,"In medieval England a huge otter population preyed on fish in rivers and stocked ponds. To protect this valuable food source, packs of Otterhounds were kept by country squires and even kings. As a sport, otter hunting was never as popular as the British gentry’s cherished foxhunts, but it did help fill the spring and summer months for sportsmen waiting for the fall hunting season. Otterhound packs were so good at their work that river otters nearly went extinct and hunting them was outlawed.","Black,Black & Tan,Blue & Cream,Gray,Liver & Tan,Tan,Wheaten,Blue,Lemon,White,White Black & Tan,Black & Tan Markings,White & Tan Markings"
african_hunting_dog,African Hunting Dog,"25-29 inches (male), 23.5-27.5 inches (female)","44-55 pounds (male), 33-44 pounds (female)",12-15 years,Sighthounds,mali,"The original homeland of the Azawakh are the endless arid regions of the south Sahara and the Sahel zone. Geographically encompassing the border region of Mali and Niger lies the center of the Azawakh Valley. Found here are most of the types of examples of the breed. Traditionally owned by the blue-clad Tuareg nomads, they are called the “idii n’ illeli.” Translated from the native tongue, this means “sighthound of the free people.” The Azawakh enjoy a special appreciation from the nomads. They live under the same roof and are fully accepted members of the family. They assume the duty of protecting the encampment and flocks from invaders. The breed are passionate hunters and provide the family with meat, however, the diminishing of game and usage of firearms lessens the utilization of the dogs. The preferred prey is hare, antelope, and wild boar. It is here the dogs can utilize their agility and stamina. The rough and broken terrain is no hindrance. In spite of their fine-limbness, they are not prone to injury.","Black,Blue,Brindle,Brown,Cream,Fawn,Gray,Red,Sandy,White,Parti-Color,Piebald"
italian_greyhound,Italian Greyhound,13-15 inches,7-14 pounds,14-15 years,Sighthounds,Italy,"Despite a delicate appearance, Italian Greyhounds are swift, hardy hounds who have survived the upheavals of two millennia. Archaeological evidence suggests that IGs were bred as noble companions some 2,000 years ago in the region that is now Greece and Turkey, when the mighty Roman Empire held sway in the Mediterranean.The miniature Greyhound was a popular companion, and perhaps a small-game hunter, throughout southern Europe in the days of the Empire, but the breed came into its own in Renaissance Italy, where owning miniature versions of popular breeds was a status symbol among aristocrats and wealthy strivers. IGs can be seen in the paintings of various Renaissance masters, embodying the grace and balance so important to the era’s aesthetics. IGs found their way onto many of the noblest laps in Europe. James I, Frederick the Great, Catherine the Great, Anne of Denmark, and Queen Victoria were among the royals who augmented their majesty with an IG or two by their side. An African king named Lobengula once swapped 200 head of cattle for a single Italian Greyhound.The AKC registered its first IG in 1886. The depredations of the two world wars nearly wiped out many of Europe’s breeds, including the IG. After both conflicts, American breeders, an ocean away from the ravages of war, kept the breed alive and helped repopulate its numbers in peacetime Europe. In modern times IGs do their share of winning in the show ring, and lure coursing gives them a chance to rev up their small but powerful engines.","Black,Blue,Cream,Fawn,Red,Sable,Seal,White & Black,White & Blue,White & Blue Fawn,White & Fawn,White & Red,White & Red Fawn,White & Sable,White & Seal,Black,Black & Tan,Blue & Tan,Brindle,Chocolate,White"
great_dane,Great Dane,"30-32 inches (male), 28-30 inches (female)","140-175 pounds (male), 110-140 pounds (female)",7-10 years,Pinscher and Schnauzer,germany,"​No one is quite sure how or why Great Danes, a German breed, came to be associated with Denmark. (In Germany they’re known as the Deutsche Dog, or “German dog.”) We do know that once upon a time, German nobles used Danes to hunt ferocious wild boars. Later, Danes became famous as protectors of their home and loved ones, a job they are still happy to perform.","Black,Black & White,Blue,Brindle,Fawn,Harlequin,Mantle,Merle,White,Blue & White,Chocolate,Chocolate & White,Merlequin,Silver,Piebald"
miniature_schnauzer,Miniature Schnauzer,12-14 inches,11-20 pounds,12-15 years,Pinscher and Schnauzer,germany,"The breed today known as the Standard Schnauzer, one of Europe’s supreme all-around farm dogs, has a lineage going back to at least the 15th century. Old-time German farmers bred the Standard down to miniature size, the better to work as fearless barnyard ratters.With his rat-dog background, the Miniature Schnauzer resides in the AKC Terrier Group with other diminutive rat-catcher breeds. But the Mini is unique among AKC terriers in that he has no British blood in his veins. The vast majority of the terrier breeds were developed in the British Isles. The few created outside of Britain—the Rat Terrier or the Cesky Terrier, for instance—were created with crosses to existing British breeds.Alone among terriers, the Miniature Schnauzer is wholly a product of Continental stock: Standard Schnauzer, Affenpinscher, and Poodle. This explains that though the Mini was born to the traditional work of small terriers, his personality is quite different. Not for him is the dour independence of the Scottish Terrier or the fiery temperament of the Irish Terrier. Rather, he is an overtly friendly dog, spirited but obedient and willing to please.For the most part, the Miniature Schnauzer’s ratting days are long behind him. Today, he is best known as a charming and attractive companion, and a steady winner at dog shows here and abroad. Of the three Schnauzer breeds, the Miniature ranks consistently highest in AKC registrations.","Black,Black & Silver,Salt & Pepper"
pomeranian,Pomeranian,6-7 inches,3-7 pounds,12-16 years,Spitz and primitive types,Germany,"The Pomeranian is a miniaturized relation of the powerful spitz-type sled dogs of the Arctic. The breed is named for Pomerania, the area of northeastern Europe that is now part of Poland and western Germany. It was there, hundreds of years ago, that the Pom’s ancestors were bred down from their much bigger, burlier cousins.The Pom, also known as the Zwergspitz in some countries, is the smallest of the spitz breeds. With their elegant appearance and regal bearing, you might say Poms are “fit for a queen”—and you’d be right. The Pom’s popularity is largely due to Queen Victoria, who became smitten with the breed while visiting Florence, Italy. When the dog-happy Dowager Queen returned to Britain with Poms in tow, the breed’s fame was assured.Victoria became a serious breeder and exhibitor of Poms. At the 1891 Crufts dog show, Victoria showed six of her breeding. One of her favorites, Windsor Marco, won first place in the breed. (A British historian wrote, “It would have been a brave judge to have placed her second.”) Victoria is credited for reducing the Pom’s size from about 30 pounds to their current toy stature. It was reported that as the aged queen lay dying in 1901, her favorite Pom, Turi, kept vigil at the foot of her bed.Other historical figures of refined sensibilities who were Pom owners include Marie Antoinette, Emile Zola, and Wolfgang Amadeus Mozart.","Beaver,Black,Black & Tan,Blue,Blue & Tan,Chocolate,Chocolate & Tan,Cream,Orange,Red,Tri-Colored,White,Black & Brindle,Brindle,Mask,Parti-Color,Sable"
border_terrier,Border Terrier,12-15 inches,"13-15.5 pounds (male), 11.5-14 pounds (female)",12-15 years,Terriers,great britain,"In the hilly countryside near the Scottish-English border, old-time farmers and shepherds developed quick, agile terriers to help pursue and dispatch a clever, sheep-stealing predator: the large, powerful hill fox. This required game terriers with legs long enough to run with foxhounds and huntsmen on horseback. But they also had to be small enough to dig into the fox’s lair and force it into the open.These dogs, the ancestors of today’s Border Terrier, were energetic, strong, and tireless, with a wiry, weatherproof coat to protect them from the rain, mist, and notoriously tough terrain of the borderland. Here, a breed historian describes the Border’s working ability: “There is no wall he cannot get over or wire entanglement he cannot scramble through. Should the fox run to earth, he will bolt him every time, or stay the night in the earth until the matter is settled.”Early breed names included the Reedwater Terrier, Ullswater Terrier, and Coquetdale Terrier, all derived from place names in the north of England where these rugged little dogs plied their trade. It was, however, in Northumberland, England’s northernmost county, where the breed earned its enduring reputation as a foxhunter adept at working in tandem with hounds. (And to this day, the Border is known as a terrier who gets on well with his fellow canines.) Foxhunting with Border Terriers in the north country was distinctly different from the pageantry of traditional British foxhunts staged on lavish country estates, where well-heeled horsemen in red coats and high hats rode with huge packs of foxhounds just for the sport of it.Borderland foxhunts were working-class affairs with a practical purpose: to protect shepherds’ flocks from predators. And to this day, the Border Terrier remains a popular option for just plain folks in the United Kingdom looking for a spirited, low-maintenance companion.The Kennel Club (England) recognized the Border Terrier in 1920, and the AKC followed suit 10 years later.","Blue & Tan,Grizzle & Tan,Red,Wheaten,Black & Red,Black & Tan,Grizzle,Red Grizzle & Tan"
airedale,Airedale,23 inches,50-70 pounds,11-14 years,Terriers,great britain,"One of Britain’s key manufacturing centers before the turn of the 20th century, the Aire Valley lies in the north of England, less than a hundred miles from the Scottish border. In the mid-1800s, at the height of the Industrial Revolution, the valley’s factory hands and mill workers first bred tough, devil-may-care Airedales in their own image. (It’s a neat irony that the King of Terriers was developed not by royals but by workingmen.) Airedales were created to be large and fearless hunters of ducks and rats, and no doubt did some poaching on the side. Fittingly for a dog from a manufacturing community, this was a “manufactured” breed: Several existing breeds went into its makeup. These include the Otterhound and such now-extinct breeds as the English Black and Tan Terrier. A practiced eye can also spot traces of the Irish Terrier and Bedlington Terrier in the Airedale. It’s quite possible that setters, retrievers, and herding dogs also played a part in the development of the breed. Airedales served in the British Armed Forces with distinction during the First World War as messengers, sentries, and guard dogs. In North America, the breed was known as a three-in-one hunting dog, equally adept on waterfowl, upland gamebirds, and furred prey. This will come as no surprise to anyone who has ever owned an Airedale, as the breed’s versatility is legendary. Ratter, duck dog, big-game hunter, herder, guardian, warrior, actor, athlete, K-9 cop, and babysitter are all jobs held at various times by the mighty King of Terriers.","Black & Tan,Grizzle & Tan"
chihuahua,Chihuahua,5-8 inches,not exceeding 6 pounds,14-16 years,Companion and Toy Dogs,mexico,"Likenesses of Chihuahua-like dogs decorate the artifacts of lost civilizations around the world. Trading among ancient cultures was more widespread than commonly assumed, so it is no surprise that similar dog types took root in far-flung places. How the Chihuahua type first came to the peoples of Mexico, however, is a secret of prehistory. We do know that when the Toltecs held sway in Mexico about a thousand years ago, their breed of choice was the Techichi, a larger, heavier ancestor of today’s Chi.The Aztecs conquered the Toltecs in the 12th century. Historians credit the Aztecs with refining the Techichi into a smaller, lighter dog. By the time Spanish conquistadors toppled Aztec civilization in the 1500s, the Techichi was so integral to Aztec culture it was considered one of Montezuma’s fabled treasures, once presumed lost forever after the conquest of Cortez.But the hardy little dogs lived on in remote villages and, in the mid-1800s, when Americans began to take an interest in the breed, they found many specimens in the State of Chihuahua. So it was that this survivor of two lost civilizations gained worldwide fame as the Chihuahua. The first AKC-registered Chihuahua, a little guy named Beppie, was recorded in 1908.The famous bandleader Xavier Cugat did much to popularize Chihuahuas in the 1940s and 50s. More recently, these natural performers stole the show in “Beverly Hills Chihuahua,” “Legally Blonde,” and “Sex and the City.” The minor-league baseball team of El Paso, Texas, is named the Chihuahuas.","Black,Black & Tan,Blue & Tan,Chocolate,Chocolate & Tan,Cream,Fawn,Fawn & White,Red,Black & Red,Black & Silver,Black & White,Blue,Blue & White,Chocolate & White,Cream & White,Gold,Gold & White,Red & White,Silver,Silver & White,White"
kuvasz,Kuvasz,"28-30 inches (male), 26-28 inches (female)","100-115 pounds (male), 70-90 pounds (female)",10-12 years,Sheepdogs and Cattledogs (except Swiss Cattledogs),hungary,"Kuvs came to Hungary in the Middle Ages, but it’s thought their lineage goes back to ancient Turkey and Tibet. As livestock guardians, they had the patience to keep a close eye on their flock for days on end, and also the courage to take on wolves or armed rustlers when duty called. Their prowess eventually came to the attention of Hungarian nobles. It’s said that King Matthais I, whose court was beset by intrigue and treachery, trusted his Kuvs more than his palace guards.",White
